UnfallID;UJAHR;UMONAT;Jahr-Monat;UWOCHENTAG;USTUNDE;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
8,20E+18;2020;7;2020-07;5;16;3;0;2;0;0;1;0;0;0;0;1;512981,5856;5280662,976;9,172956961;47,67922566
8,20E+18;2020;7;2020-07;5;20;3;0;1;0;0;1;0;0;0;0;0;515604,9486;5280747,233;9,207911487;47,67992576
8,20E+18;2020;7;2020-07;4;14;3;7;7;0;0;1;0;1;0;0;0;512969,2535;5279177,795;9,172748551;47,66586274
8,20E+18;2020;8;2020-08;2;23;3;0;1;2;1;1;0;0;0;0;0;513112,793;5280072,644;9,174687333;47,6739114
8,20E+18;2020;8;2020-08;4;11;3;5;3;0;0;0;0;0;0;0;1;513090,4866;5278310,721;9,174337375;47,65805864
8,20E+18;2020;8;2020-08;4;8;3;5;7;0;0;0;1;0;0;0;0;512169,8884;5278686,267;9,16208748;47,66145567
8,20E+18;2020;8;2020-08;1;19;3;8;7;0;1;1;0;0;0;0;0;512670,229;5278207,035;9,168737459;47,65713408
8,20E+18;2020;8;2020-08;1;14;3;0;7;0;0;1;0;0;0;0;0;511846,0176;5279706,363;9,15780161;47,67064017
8,20E+18;2020;8;2020-08;5;0;3;0;7;2;0;1;0;0;0;0;0;512204,9496;5281644,328;9,16263713;47,68807065
8,20E+18;2020;8;2020-08;4;9;3;0;7;0;0;1;0;0;0;0;0;514251,815;5280068,008;9,189861038;47,67384558
